epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.0010000000474974513,1.248645544052124,1.558566689491272,2.246290445327759,3.8246850967407227,4.2179718017578125,4.351203441619873
1,0.0010000000474974513,0.6372373700141907,0.9126060605049133,1.170387864112854,2.62233567237854,3.016754388809204,3.173245429992676
2,0.0010000000474974513,0.5713978409767151,0.8410632610321045,1.078661561012268,2.0591835975646973,2.455132007598877,2.6318719387054443
3,0.0010000000474974513,0.5375257730484009,0.8061021566390991,1.025724172592163,1.740156650543213,2.1368532180786133,2.325751543045044
4,0.0010000000474974513,0.5110390186309814,0.7817880511283875,0.9815558791160583,1.5767838954925537,1.973292589187622,2.129092216491699
5,0.0010000000474974513,0.4166817367076874,0.6680287718772888,0.8479757308959961,1.007385015487671,1.3852697610855103,1.561985731124878
6,0.0010000000474974513,0.3662526309490204,0.6041107773780823,0.7745798230171204,1.120634913444519,1.5149726867675781,1.6685211658477783
7,0.0010000000474974513,0.3317676782608032,0.5580065846443176,0.7226560711860657,1.0957205295562744,1.491843581199646,1.6375627517700195
8,0.0010000000474974513,0.30084893107414246,0.5174468159675598,0.6723155379295349,0.7682491540908813,1.1280328035354614,1.3001890182495117
9,0.0010000000474974513,0.2924949824810028,0.509423553943634,0.6644093990325928,0.8023391962051392,1.1828480958938599,1.3164057731628418
10,0.0010000000474974513,0.2767713963985443,0.48788681626319885,0.6404463648796082,0.6671997904777527,1.0415772199630737,1.1586740016937256
11,0.0010000000474974513,0.26543235778808594,0.4772375822067261,0.6249575614929199,0.6423683762550354,1.007519245147705,1.139363408088684
12,0.0010000000474974513,0.25012725591659546,0.4579664468765259,0.6037904620170593,0.6802686452865601,1.0588511228561401,1.1734230518341064
13,0.0010000000474974513,0.2379751354455948,0.4413021206855774,0.5836935639381409,0.7934273481369019,1.1955193281173706,1.3189681768417358
14,0.0010000000474974513,0.21480724215507507,0.4081532657146454,0.5450712442398071,0.825425922870636,1.2333183288574219,1.3374719619750977
15,0.0010000000474974513,0.2131679654121399,0.40941959619522095,0.5478386878967285,0.7515546679496765,1.163398027420044,1.2406448125839233
16,0.0010000000474974513,0.19492043554782867,0.38367897272109985,0.5132989287376404,0.8706531524658203,1.291073203086853,1.378304123878479
17,0.0010000000474974513,0.18993373215198517,0.37946170568466187,0.508630633354187,0.9464289546012878,1.376001000404358,1.4334688186645508
18,0.0010000000474974513,0.17837005853652954,0.3639258146286011,0.489050030708313,0.5684407949447632,0.9687052965164185,1.045239806175232
19,0.0010000000474974513,0.17581284046173096,0.36172938346862793,0.4900359809398651,0.5873942971229553,0.9973722696304321,1.061822772026062
20,0.0010000000474974513,0.17111928761005402,0.3571195900440216,0.4845483601093292,0.7065870761871338,1.1323727369308472,1.1884487867355347
21,0.0010000000474974513,0.16856856644153595,0.35755008459091187,0.48427116870880127,0.8190457820892334,1.2512929439544678,1.3194196224212646
22,0.0010000000474974513,0.15485161542892456,0.3380758762359619,0.45527857542037964,0.7033184170722961,1.136433482170105,1.190792441368103
23,0.0010000000474974513,0.15203729271888733,0.33559733629226685,0.45360690355300903,0.6856995224952698,1.1195425987243652,1.1742746829986572
24,0.0010000000474974513,0.1458025872707367,0.3255937397480011,0.4460759460926056,0.5404998660087585,0.9670735597610474,1.00858736038208
25,0.0010000000474974513,0.14284248650074005,0.3260423243045807,0.4413292706012726,0.9527816772460938,1.400941014289856,1.4514356851577759
26,0.0010000000474974513,0.13377153873443604,0.3114835321903229,0.42576414346694946,0.46059128642082214,0.8771483898162842,0.9192497730255127
27,0.0010000000474974513,0.1268082708120346,0.30017685890197754,0.4101712107658386,0.508236825466156,0.9363540410995483,0.9810393452644348
28,0.0010000000474974513,0.11789576709270477,0.2869566082954407,0.3908979594707489,0.49409040808677673,0.9203899502754211,0.9653274416923523
29,0.0010000000474974513,0.12691634893417358,0.2992970943450928,0.42553964257240295,0.6039780974388123,1.04387629032135,1.09328031539917
30,0.0010000000474974513,0.1186719536781311,0.2901945412158966,0.40237972140312195,0.6052209138870239,1.0497528314590454,1.08925199508667
31,0.0010000000474974513,0.11577098071575165,0.28778305649757385,0.39726054668426514,0.34910672903060913,0.7546527981758118,0.7891682386398315
32,0.0010000000474974513,0.11669429391622543,0.28564390540122986,0.4071253538131714,0.4861811399459839,0.9133515954017639,0.9602933526039124
33,0.0010000000474974513,0.11295366287231445,0.2847681939601898,0.39777132868766785,0.6173563599586487,1.0670260190963745,1.1023861169815063
34,0.0010000000474974513,0.10111887753009796,0.2617190182209015,0.3662246763706207,0.47247257828712463,0.9000431299209595,0.9519613981246948
35,0.0010000000474974513,0.10371767729520798,0.2699626684188843,0.3764648735523224,0.4200206696987152,0.8411113619804382,0.8865146636962891
